Date Time,Open,High,Low,Close,Volume,,,
2012-09-28 15:30:00,5714.9,5766.05,5711,5729.55,5831250,,,
2012-10-01 15:30:00,5725.6,5759,5718,5754.15,3089600,,,
2012-10-03 15:30:00,5763.7,5773,5741.75,5768.25,4596575,,,
2012-10-04 15:30:00,5785,5842,5780,5825.7,5553275,,,
2012-10-05 15:30:00,5855.6,5855.6,5732.4,5776.55,9244750,,,
2012-10-08 15:30:00,5765,5775,5694.25,5701,4913900,,,
2012-10-09 15:30:00,5732,5756.75,5696.8,5723.9,5425825,,,
2012-10-10 15:30:00,5692.3,5710.75,5666.9,5672.45,5724500,,,
2012-10-11 15:30:00,5669,5749,5656.3,5739.35,6268025,,,
2012-10-12 15:30:00,5717.9,5742.7,5678,5686.55,5868775,,,
2012-10-15 15:30:00,5687,5715,5664.4,5702.75,4307350,,,
2012-10-16 15:30:00,5725,5732,5637.4,5651.55,5562475,,,
2012-10-17 15:30:00,5686.15,5694.85,5645.55,5669.5,4220750,,,
2012-10-18 15:30:00,5685.55,5743.95,5664.8,5736.45,6715475,,,
2012-10-19 15:30:00,5717,5721.5,5665,5688.3,6005475,,,
2012-10-22 15:30:00,5670,5730.55,5666.45,5724.75,6549675,,,
2012-10-23 15:30:00,5715,5721.8,5683.4,5695.5,7092975,,,
2012-10-25 15:30:00,5687,5717.95,5681.4,5704.7,6365475,,,
2012-10-26 15:30:00,5711.1,5727.9,5673.45,5699.3,5011450,,,
2012-10-29 15:30:00,5708,5729.85,5678.35,5702.1,3737325,,,
2012-10-30 15:30:00,5694.8,5724.8,5619.15,5628,7285900,,,
2012-10-31 15:30:00,5629,5651.8,5613.2,5646.1,3612700,,,
2012-11-01 15:30:00,5637.7,5684.8,5628.9,5676,4184800,,,
2012-11-02 15:30:00,5709.95,5747.95,5700,5739.55,4768975,,,
2012-11-05 15:30:00,5759.95,5759.95,5710.95,5739.65,2919900,,,
2012-11-06 15:30:00,5728,5774.8,5728,5766.65,3511750,,,
2012-11-07 15:30:00,5760.05,5818.8,5742.5,5793.25,5938575,,,
2012-11-08 15:30:00,5744.7,5776.8,5740,5765.2,4660200,,,
2012-11-09 15:30:00,5756.2,5782.1,5702.6,5720.6,5293475,,,
2012-11-12 15:30:00,5717.3,5733,5693.1,5711.1,3417525,,,
2012-11-13 15:30:00,5698.8,5708,5671,5680.7,1445000,,,
2012-11-15 15:30:00,5655,5661.5,5620,5649.15,4792350,,,
2012-11-16 15:30:00,5648,5664,5568,5580.55,5434175,,,
2012-11-19 15:30:00,5588,5603.6,5561.55,5589.65,4185600,,,
2012-11-20 15:30:00,5611.1,5616.65,5555.55,5583.85,4332150,,,
2012-11-21 15:30:00,5590.1,5628,5569.7,5622.1,4665775,,,
2012-11-22 15:30:00,5627,5657.65,5614,5640.45,4165025,,,
